# path: /Users/alexander/code/worktrees/batch14/issue-22008/vlib/v/tests/fns/closure_struct_init_cov_regression_test.v
# build_options: -coverage .vtmp_cov_issue_24842 -os macos -arch arm64 -d gcboehm -d gcboehm_full -d gcboehm_opt -d macos
meta,point,hits
263e4186c99d0aac,45,2
263e4186c99d0aac,46,4
263e4186c99d0aac,47,4
263e4186c99d0aac,48,2
263e4186c99d0aac,49,2
263e4186c99d0aac,50,2
263e4186c99d0aac,51,2
263e4186c99d0aac,52,2
263e4186c99d0aac,53,2
263e4186c99d0aac,57,2
263e4186c99d0aac,58,2
263e4186c99d0aac,59,2
263e4186c99d0aac,60,2
263e4186c99d0aac,61,2
263e4186c99d0aac,62,2
263e4186c99d0aac,63,2
263e4186c99d0aac,64,2
263e4186c99d0aac,65,2
263e4186c99d0aac,66,2
263e4186c99d0aac,67,2
263e4186c99d0aac,68,2
263e4186c99d0aac,69,2
263e4186c99d0aac,70,2
263e4186c99d0aac,71,2
263e4186c99d0aac,72,5
263e4186c99d0aac,85,1
263e4186c99d0aac,86,1
263e4186c99d0aac,87,1
263e4186c99d0aac,88,1
263e4186c99d0aac,89,1
263e4186c99d0aac,90,1
263e4186c99d0aac,91,1
263e4186c99d0aac,92,1
263e4186c99d0aac,93,1
263e4186c99d0aac,94,1
263e4186c99d0aac,95,1
263e4186c99d0aac,127,2
263e4186c99d0aac,129,2
263e4186c99d0aac,130,1
263e4186c99d0aac,131,1
263e4186c99d0aac,132,5
263e4186c99d0aac,133,2
263e4186c99d0aac,134,5
263e4186c99d0aac,135,1
263e4186c99d0aac,136,4
263e4186c99d0aac,138,1
263e4186c99d0aac,140,1
263e4186c99d0aac,141,1
263e4186c99d0aac,142,1
263e4186c99d0aac,144,1
263e4186c99d0aac,146,4
263e4186c99d0aac,148,4
263e4186c99d0aac,149,4
263e4186c99d0aac,150,1
263e4186c99d0aac,152,5
263e4186c99d0aac,153,5
263e4186c99d0aac,154,5
263e4186c99d0aac,155,1
263e4186c99d0aac,156,1
263e4186c99d0aac,159,4
263e4186c99d0aac,161,4
263e4186c99d0aac,162,4
263e4186c99d0aac,164,4
263e4186c99d0aac,166,4
263e4186c99d0aac,167,100
263e4186c99d0aac,168,100
263e4186c99d0aac,169,15
263e4186c99d0aac,170,15
263e4186c99d0aac,171,100
263e4186c99d0aac,172,2
263e4186c99d0aac,173,98
263e4186c99d0aac,174,2
263e4186c99d0aac,178,2
263e4186c99d0aac,180,2
263e4186c99d0aac,182,2
263e4186c99d0aac,200,11
263e4186c99d0aac,206,11
263e4186c99d0aac,207,9
263e4186c99d0aac,208,2
263e4186c99d0aac,209,2
263e4186c99d0aac,210,2
263e4186c99d0aac,211,2
263e4186c99d0aac,212,2
2f5d4880c99d11a0,0,3
2f5d4880c99d11a0,1,3
2f5d4880c99d11a0,2,3
2f5d4880c99d11a0,3,3
2f5d4880c99d11a0,4,3
2f5d4880c99d11a0,5,2
2f5d4880c99d11a0,6,1
dac89f907981cd02,0,1
dac89f907981cd02,3,1
dac89f907981cd02,4,1
dac89f907981cd02,5,1
dac89f907981cd02,6,1
dac89f907981cd02,7,1
dac89f907981cd02,10,1
dac89f907981cd02,12,1
dac89f907981cd02,13,1
dac89f907981cd02,14,1
dac89f907981cd02,15,2
c71c1b5dfe1f94c7,0,1
c71c1b5dfe1f94c7,1,2
c71c1b5dfe1f94c7,2,1
c71c1b5dfe1f94c7,3,2
c71c1b5dfe1f94c7,4,2
c71c1b5dfe1f94c7,5,2
c71c1b5dfe1f94c7,6,2
c71c1b5dfe1f94c7,7,1
c71c1b5dfe1f94c7,8,1
c71c1b5dfe1f94c7,12,1
fc4798a880b38642,0,1
fc4798a880b38642,1,1
fc4798a880b38642,2,1
fc4798a880b38642,3,1
fc4798a880b38642,4,1
fc4798a880b38642,5,1
fc4798a880b38642,6,1
fc4798a880b38642,7,1
fc4798a880b38642,8,1
fc4798a880b38642,9,1
fc4798a880b38642,10,1
fc4798a880b38642,11,1
fc4798a880b38642,12,1
fc4798a880b38642,13,1
fc4798a880b38642,14,1
fc4798a880b38642,15,1
fc4798a880b38642,16,1
fc4798a880b38642,17,1
fc4798a880b38642,19,1
fc4798a880b38642,21,1
fc4798a880b38642,22,1
fc4798a880b38642,23,1
fc4798a880b38642,24,1
fc4798a880b38642,25,1
fc4798a880b38642,39,1
fc4798a880b38642,40,1
fc4798a880b38642,41,1
6d884d6f2f5a7454,0,1
6d884d6f2f5a7454,1,1
6d884d6f2f5a7454,2,1
6d884d6f2f5a7454,3,1
6d884d6f2f5a7454,4,1
6d884d6f2f5a7454,8,2
